name,material,color,brand,style,event_type,description,price
Áo sơ mi nam công sở,Cotton,Trắng,Zara,Sang trọng,Công sở,"Chiếc áo sơ mi nam cao cấp của Zara, được làm từ 100% cotton, mang lại cảm giác mềm mại và thoáng mát. Sản phẩm có màu trắng, kiểu dáng regular fit, phù hợp với môi trường công sở hoặc các sự kiện trang trọng.",100
Quần jean skinny,Denim pha Polyester,Xanh navy,H&M,Trẻ trung,"Dạo phố, Tiệc","Quần jean skinny fit của H&M mang đến phong cách trẻ trung, hiện đại. Được làm từ denim pha Polyester, giúp co giãn thoải mái và giữ form tốt.",2500
Áo khoác dạ dài,Len pha Polyester,Đen,Uniqlo,Minimalist,"Công sở, Trang trọng","Mẫu áo khoác dáng dài của Uniqlo là sự kết hợp hoàn hảo giữa thời trang và tiện dụng. Chất liệu len pha polyester, giữ ấm tốt, thích hợp cho mùa đông.",124
Váy maxi vintage,Voan nhẹ,Hồng pastel,Mango,Vintage,"Dạo phố, Tiệc ngoài trời","Váy maxi phong cách vintage từ thương hiệu Mango, mang đến sự nữ tính và dịu dàng. Sử dụng chất liệu voan nhẹ thoáng mát, phù hợp với mùa hè.",344
Bộ thể thao Adidas Performance,Thun co giãn 4 chiều,"Xám, Đen",Adidas,Athleisure,Thể thao,"Bộ đồ thể thao Adidas Performance, thiết kế dành riêng cho những người yêu thích vận động.",853
Áo thun unisex,Cotton,Xanh dương,Nike,Casual,Dạo phố,"Áo thun unisex của Nike, chất liệu cotton thoáng mát, dễ phối đồ. Màu xanh dương nổi bật, phù hợp cho phong cách casual.",340
Chân váy bút chì,Len pha,Xám,Gucci,Thanh lịch,Công sở,"Chân váy bút chì Gucci giúp tôn dáng với chất liệu len pha giữ ấm, thích hợp mặc trong môi trường công sở sang trọng.",964
Giày sneaker cổ thấp,Da tổng hợp,Trắng,Converse,Streetwear,Dạo phố,"Mẫu giày sneaker cổ thấp Converse, chất liệu da tổng hợp bền bỉ, màu trắng tinh tế, dễ phối với nhiều phong cách.",850
Áo hoodie nỉ,Nỉ bông,Đỏ,Supreme,Streetwear,Dạo phố,"Áo hoodie Supreme với chất nỉ bông dày dặn, màu đỏ nổi bật, giúp giữ ấm và phù hợp phong cách streetwear.",102
Quần short thể thao,Polyester,Đen,Puma,Thể thao,Tập gym,"Quần short thể thao Puma với chất liệu polyester thoáng khí, co giãn tốt, lý tưởng cho các hoạt động thể thao.",2350
Đầm bodycon,Lụa pha Spandex,Đỏ rượu,Dior,Sang trọng,Dạ tiệc,"Chiếc đầm bodycon Dior ôm sát, tôn dáng, chất liệu lụa pha spandex cao cấp, thích hợp cho các buổi dạ tiệc.",262
Áo blazer nữ,Len pha,Be,Chanel,Thanh lịch,Công sở,"Áo blazer Chanel màu be trang nhã, chất liệu len pha, mang lại phong cách thanh lịch và chuyên nghiệp.",560
Túi xách da,Da thật,Nâu,Louis Vuitton,Sang trọng,"Dạo phố, Công sở","Túi xách Louis Vuitton bằng da thật, màu nâu cổ điển, là điểm nhấn hoàn hảo cho phong cách công sở hoặc dạo phố.",830
Mũ lưỡi trai,Cotton,Xanh lá,New Era,Casual,Dạo phố,"Mũ lưỡi trai New Era màu xanh lá, phong cách năng động, phù hợp để phối đồ casual khi dạo phố.",520
Găng tay da,Da thật,Đen,Prada,Thanh lịch,Mùa đông,"Găng tay da Prada giữ ấm tốt, màu đen sang trọng, lý tưởng để dùng trong mùa đông lạnh giá.",600
Áo polo nam,Cotton co giãn,Xanh navy,Lacoste,Casual,Dạo phố,"Áo polo Lacoste thiết kế đơn giản, chất liệu cotton co giãn giúp thoải mái khi mặc.",750
Váy suông midi,Linen,Trắng kem,Zara,Vintage,Dạo phố,"Váy suông midi Zara với chất linen nhẹ nhàng, tạo sự thoải mái và thanh lịch.",450
Quần tây nam,Vải wool pha,Xám đậm,Hugo Boss,Sang trọng,Công sở,"Quần tây Hugo Boss chất liệu cao cấp, giúp đứng form đẹp và phù hợp môi trường công sở.",990
Giày oxford nam,Da thật,Nâu,Clarks,Thanh lịch,Công sở,"Giày Oxford Clarks da thật bền bỉ, thiết kế cổ điển phù hợp cho môi trường công sở.",1500
Dép lê thời trang,Cao su tổng hợp,Đen,Birkenstock,Minimalist,Dạo phố,"Dép lê Birkenstock mang lại sự thoải mái, phù hợp với phong cách tối giản.",700
